country_region_code,country_region,sub_region_1,sub_region_2,date,解析日,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,VAR00002,VAR00003,VAR00004,VAR00005,VAR00006,VAR00007
JP,Japan, , ,2/15/2020, ,-1,4,7,1,4,0, , , , , , 
JP,Japan, , ,2/16/2020, ,-9,-6,-35,-10,-2,2, , , , , , 
JP,Japan, , ,2/17/2020, ,-2,1,-5,-1,0,1, , , , , , 
JP,Japan, , ,2/18/2020, ,1,2,1,-2,0,1, , , , , , 
JP,Japan, , ,2/19/2020, ,0,2,8,-3,0,0, , , , , , 
JP,Japan, , ,2/20/2020, ,1,4,4,-3,0,0, , , , , , 
JP,Japan, , ,2/21/2020, ,-1,2,7,-2,0,1, , , , , , 
JP,Japan, , ,2/22/2020, ,-5,1,-10,-3,-1,2, , , , , , 
JP,Japan, , ,2/23/2020, ,1,3,16,2,0,0, , , , , , 
JP,Japan, , ,2/24/2020, ,18,4,54,-27,-55,14, , , , , , 
JP,Japan, , ,2/25/2020, ,0,7,0,-2,1,1, , , , , , 
JP,Japan, , ,2/26/2020, ,-4,3,-5,-5,1,1, , , , , , 
JP,Japan, , ,2/27/2020, ,-3,6,-4,-7,0,1, , , , , , 
JP,Japan, , ,2/28/2020, ,-2,14,-4,-10,1,2, , , , , , 
JP,Japan, , ,2/29/2020, ,-10,9,-22,-21,3,4, , , , , , 
JP,Japan, , ,3/1/2020, ,-10,9,-1,-23,1,4, , , , , , 
JP,Japan, , ,3/2/2020, ,-10,3,-15,-15,-2,4, , , , , , 
JP,Japan, , ,3/3/2020, ,-2,9,11,-15,-2,4, , , , , , 
JP,Japan, , ,3/4/2020, ,-12,-2,-21,-19,-4,5, , , , , , 
JP,Japan, , ,3/5/2020, ,-9,3,-8,-18,-4,4, , , , , , 
JP,Japan, , ,3/6/2020, ,-9,2,5,-18,-4,5, , , , , , 
JP,Japan, , ,3/7/2020, ,-12,2,-8,-24,-4,5, , , , , , 
JP,Japan, , ,3/8/2020, ,-17,-4,-35,-31,-5,6, , , , , , 
JP,Japan, , ,3/9/2020, ,-7,2,11,-15,-3,4, , , , , , 
JP,Japan, , ,3/10/2020, ,-9,-3,-28,-18,-5,6, , , , , , 
JP,Japan, , ,3/11/2020, ,-3,4,13,-16,-4,3, , , , , , 
JP,Japan, , ,3/12/2020, ,-3,5,16,-15,-4,3, , , , , , 
JP,Japan, , ,3/13/2020, ,-5,3,10,-17,-4,5, , , , , , 
JP,Japan, , ,3/14/2020, ,-14,-4,-39,-27,-7,7, , , , , , 
JP,Japan, , ,3/15/2020, ,-7,5,9,-21,-3,3, , , , , , 
JP,Japan, , ,3/16/2020, ,-7,0,-7,-15,-3,4, , , , , , 
JP,Japan, , ,3/17/2020, ,-1,4,14,-15,-4,4, , , , , , 
JP,Japan, , ,3/18/2020, ,-3,3,20,-14,-4,3, , , , , , 
JP,Japan, , ,3/19/2020, ,4,6,17,-10,-4,2, , , , , , 
JP,Japan, , ,3/20/2020, ,7,6,40,-34,-54,17, , , , , , 
JP,Japan, , ,3/21/2020, ,-6,5,34,-15,-7,3, , , , , , 
JP,Japan, , ,3/22/2020, ,-9,1,18,-18,-3,3, , , , , , 
JP,Japan, , ,3/23/2020, ,-4,0,11,-13,-3,3, , , , , , 
JP,Japan, , ,3/24/2020, ,0,3,14,-13,-4,4, , , , , , 
JP,Japan, , ,3/25/2020, ,2,8,31,-11,-4,2, , , , , , 
JP,Japan, , ,3/26/2020, ,0,13,26,-13,-5,3, , , , , , 
JP,Japan, , ,3/27/2020, ,-10,3,-9,-19,-7,6, , , , , , 
JP,Japan, , ,3/28/2020, ,-18,1,-23,-33,-8,7, , , , , , 
JP,Japan, , ,3/29/2020, ,-26,-7,-25,-41,-9,7, , , , , , 
JP,Japan, , ,3/30/2020, ,-7,4,-2,-20,-8,5, , , , , , 
JP,Japan, , ,3/31/2020, ,-4,7,9,-20,-7,5, , , , , , 
JP,Japan, , ,4/1/2020, ,-20,-5,-29,-25,-10,7, , , , , , 
JP,Japan, , ,4/2/2020, ,-12,6,13,-23,-10,6, , , , , , 
JP,Japan, , ,4/3/2020, ,-14,6,26,-25,-11,7, , , , , , 
JP,Japan, , ,4/4/2020, ,-21,6,26,-35,-12,8, , , , , , 
JP,Japan, , ,4/5/2020, ,-25,2,3,-43,-13,8, , , , , , 
JP,Japan, , ,4/6/2020, ,-13,7,15,-24,-11,7, , , , , , 
JP,Japan, , ,4/7/2020, ,-12,6,17,-27,-13,8, , , , , , 
JP,Japan, , ,4/8/2020, ,-22,2,16,-34,-16,9, , , , , , 
JP,Japan, , ,4/9/2020, ,-24,2,8,-36,-17,10, , , , , , 
JP,Japan, , ,4/10/2020, ,-26,4,0,-38,-18,12, , , , , , 
JP,Japan, , ,4/11/2020, ,-30,4,3,-48,-22,12, , , , , , 
JP,Japan, , ,4/12/2020, ,-40,-9,-35,-58,-22,12, , , , , , 
JP,Japan, , ,4/13/2020, ,-38,-15,-45,-45,-20,13, , , , , , 
JP,Japan, , ,4/14/2020, ,-23,5,10,-41,-20,12, , , , , , 
JP,Japan, , ,4/15/2020, ,-24,7,17,-41,-21,11, , , , , , 
JP,Japan, , ,4/16/2020, ,-27,5,9,-43,-22,12, , , , , , 
JP,Japan, , ,4/17/2020, ,-31,4,-1,-46,-23,14, , , , , , 
JP,Japan, , ,4/18/2020, ,-48,-14,-47,-60,-26,16, , , , , , 
JP,Japan, , ,4/19/2020, ,-40,-3,1,-53,-23,11, , , , , , 
JP,Japan, , ,4/20/2020, ,-37,-8,-33,-47,-23,14, , , , , , 
JP,Japan, , ,4/21/2020, ,-31,1,8,-46,-25,14, , , , , , 
JP,Japan, , ,4/22/2020, ,-36,-4,-3,-48,-26,14, , , , , , 
JP,Japan, , ,4/23/2020, ,-36,-3,-4,-48,-26,15, , , , , , 
JP,Japan, , ,4/24/2020, ,-37,-1,-8,-48,-26,16, , , , , , 
JP,Japan, , ,4/25/2020, ,-41,-3,-9,-53,-26,14, , , , , , 
JP,Japan, , ,4/26/2020, ,-45,-9,-16,-58,-27,12, , , , , , 
JP,Japan, , ,4/27/2020, ,-35,-5,-9,-47,-26,15, , , , , , 
JP,Japan, , ,4/28/2020, ,-28,2,4,-46,-27,14, , , , , , 
JP,Japan, , ,4/29/2020, ,-30,-5,23,-64,-64,22, , , , , , 
JP,Japan, , ,4/30/2020, ,-30,4,8,-47,-32,16, , , , , , 
JP,Japan, , ,5/1/2020, ,-35,1,4,-50,-35,19, , , , , , 
JP,Japan, , ,5/2/2020, ,-43,-5,-11,-55,-30,15, , , , , , 
JP,Japan, , ,5/3/2020, ,-45,-9,-19,-58,-30,12, , , , , , 
JP,Japan, , ,5/4/2020, ,-28,-6,4,-67,-73,29, , , , , , 
JP,Japan, , ,5/5/2020, ,-23,0,29,-65,-73,29, , , , , , 
JP,Japan, , ,5/6/2020, ,-36,-12,-17,-69,-72,30, , , , , , 
JP,Japan, , ,5/7/2020, ,-31,1,3,-44,-26,14, , , , , , 
JP,Japan, , ,5/8/2020, ,-34,0,6,-45,-27,16, , , , , , 
JP,Japan, , ,5/9/2020, ,-39,-5,-20,-51,-20,13, , , , , , 
JP,Japan, , ,5/10/2020, ,-38,-7,-35,-56,-24,12, , , , , , 
JP,Japan, , ,5/11/2020, ,-32,-2,0,-42,-22,12, , , , , , 
JP,Japan, , ,5/12/2020, ,-30,0,6,-43,-23,13, , , , , , 
JP,Japan, , ,5/13/2020, ,-31,-1,4,-44,-23,13, , , , , , 
JP,Japan, , ,5/14/2020, ,-30,-1,6,-44,-23,12, , , , , , 
JP,Japan, , ,5/15/2020, ,-32,0,-4,-44,-23,15, , , , , , 
JP,Japan, , ,5/16/2020, ,-40,-12,-52,-55,-23,14, , , , , , 
JP,Japan, , ,5/17/2020, ,-32,-1,-2,-48,-20,9, , , , , , 
JP,Japan, , ,5/18/2020, ,-32,-7,-20,-42,-20,13, , , , , , 
JP,Japan, , ,5/19/2020, ,-29,-4,-20,-43,-22,14, , , , , , 
JP,Japan, , ,5/20/2020, ,-26,1,-6,-41,-21,12, , , , , , 
JP,Japan, , ,5/21/2020, ,-27,-1,-8,-41,-21,12, , , , , , 
JP,Japan, , ,5/22/2020, ,-29,-2,-5,-41,-21,13, , , , , , 
JP,Japan, , ,5/23/2020, ,-27,0,-8,-43,-20,11, , , , , , 
JP,Japan, , ,5/24/2020, ,-27,-1,8,-42,-17,8, , , , , , 
JP,Japan, , ,5/25/2020, ,-22,2,2,-35,-18,10, , , , , , 
JP,Japan, , ,5/26/2020, ,-22,-1,-8,-36,-18,11, , , , , , 
JP,Japan, , ,5/27/2020, ,-20,2,5,-35,-18,10, , , , , , 
JP,Japan, , ,5/28/2020, ,-20,1,5,-34,-18,10, , , , , , 
JP,Japan, , ,5/29/2020, ,-21,2,5,-34,-17,11, , , , , , 
JP,Japan, , ,5/30/2020, ,-20,3,1,-34,-14,8, , , , , , 
JP,Japan, , ,5/31/2020, ,-22,0,-16,-39,-14,7, , , , , , 
JP,Japan, , ,6/1/2020, ,-21,-2,-13,-26,-11,8, , , , , , 
JP,Japan, , ,6/2/2020, ,-16,2,5,-27,-13,8, , , , , , 
JP,Japan, , ,6/3/2020, ,-19,1,5,-28,-13,8, , , , , , 
JP,Japan, , ,6/4/2020, ,-18,2,2,-28,-13,8, , , , , , 
JP,Japan, , ,6/5/2020, ,-18,1,1,-29,-15,9, , , , , , 
JP,Japan,Aichi, ,2/15/2020, ,0,3,8,-4,4,0, , , , , , 
JP,Japan,Aichi, ,2/16/2020, ,-8,-6,-42,-12,-2,3, , , , , , 
JP,Japan,Aichi, ,2/17/2020, ,-1,1,1,-2,1,1, , , , , , 
JP,Japan,Aichi, ,2/18/2020, ,0,-1,0,-4,0,1, , , , , , 
JP,Japan,Aichi, ,2/19/2020, ,1,1,6,-4,1,1, , , , , , 
JP,Japan,Aichi, ,2/20/2020, ,3,4,5,-4,0,0, , , , , , 
JP,Japan,Aichi, ,2/21/2020, ,0,2,9,-2,0,1, , , , , , 
JP,Japan,Aichi, ,2/22/2020, ,-5,-1,-23,-8,-2,3, , , , , , 
JP,Japan,Aichi, ,2/23/2020, ,-2,2,-3,-5,-1,1, , , , , , 
JP,Japan,Aichi, ,2/24/2020, ,17,2,53,-25,-44,11, , , , , , 
JP,Japan,Aichi, ,2/25/2020, ,-2,5,-1,-4,1,1, , , , , , 
JP,Japan,Aichi, ,2/26/2020, ,-2,4,5,-6,1,1, , , , , , 
JP,Japan,Aichi, ,2/27/2020, ,-2,6,-1,-9,1,2, , , , , , 
JP,Japan,Aichi, ,2/28/2020, ,-2,14,0,-13,1,2, , , , , , 
JP,Japan,Aichi, ,2/29/2020, ,-9,9,-31,-29,2,5, , , , , , 
JP,Japan,Aichi, ,3/1/2020, ,-10,10,8,-29,1,4, , , , , , 
JP,Japan,Aichi, ,3/2/2020, ,-7,6,8,-17,-1,3, , , , , , 
JP,Japan,Aichi, ,3/3/2020, ,-3,8,19,-21,-3,3, , , , , , 
JP,Japan,Aichi, ,3/4/2020, ,-13,-2,-20,-21,-3,5, , , , , , 
JP,Japan,Aichi, ,3/5/2020, ,-8,3,-8,-22,-3,4, , , , , , 
JP,Japan,Aichi, ,3/6/2020, ,-11,2,5,-23,-3,5, , , , , , 
JP,Japan,Aichi, ,3/7/2020, ,-12,4,10,-33,-3,5, , , , , , 
JP,Japan,Aichi, ,3/8/2020, ,-23,-10,-57,-42,-8,8, , , , , , 
JP,Japan,Aichi, ,3/9/2020, ,-6,2,25,-18,-3,3, , , , , , 
JP,Japan,Aichi, ,3/10/2020, ,-12,-5,-32,-23,-5,6, , , , , , 
JP,Japan,Aichi, ,3/11/2020, ,-4,4,10,-20,-3,4, , , , , , 
JP,Japan,Aichi, ,3/12/2020, ,-3,5,23,-20,-3,3, , , , , , 
JP,Japan,Aichi, ,3/13/2020, ,-7,3,19,-21,-4,4, , , , , , 
JP,Japan,Aichi, ,3/14/2020, ,-12,-2,-39,-35,-6,7, , , , , , 
JP,Japan,Aichi, ,3/15/2020, ,-10,3,13,-31,-3,4, , , , , , 
JP,Japan,Aichi, ,3/16/2020, ,-8,0,-4,-18,-3,4, , , , , , 
JP,Japan,Aichi, ,3/17/2020, ,-5,2,22,-19,-3,3, , , , , , 
JP,Japan,Aichi, ,3/18/2020, ,-4,4,22,-16,-2,3, , , , , , 
JP,Japan,Aichi, ,3/19/2020, ,4,4,18,-14,-5,3, , , , , , 
JP,Japan,Aichi, ,3/20/2020, ,2,2,17,-41,-43,15, , , , , , 
JP,Japan,Aichi, ,3/21/2020, ,-9,3,30,-28,-6,4, , , , , , 
JP,Japan,Aichi, ,3/22/2020, ,-11,1,21,-26,-4,3, , , , , , 
JP,Japan,Aichi, ,3/23/2020, ,-5,1,19,-14,-4,3, , , , , , 
JP,Japan,Aichi, ,3/24/2020, ,-3,2,11,-17,-4,4, , , , , , 
JP,Japan,Aichi, ,3/25/2020, ,0,6,30,-14,-4,3, , , , , , 
JP,Japan,Aichi, ,3/26/2020, ,1,10,39,-15,-5,3, , , , , , 
JP,Japan,Aichi, ,3/27/2020, ,-12,-3,-33,-21,-7,7, , , , , , 
JP,Japan,Aichi, ,3/28/2020, ,-13,3,-11,-32,-5,6, , , , , , 
JP,Japan,Aichi, ,3/29/2020, ,-14,1,-11,-35,-5,6, , , , , , 
JP,Japan,Aichi, ,3/30/2020, ,-8,0,-13,-19,-6,5, , , , , , 
JP,Japan,Aichi, ,3/31/2020, ,-5,4,-2,-20,-6,5, , , , , , 
JP,Japan,Aichi, ,4/1/2020, ,-16,-5,-22,-21,-6,6, , , , , , 
JP,Japan,Aichi, ,4/2/2020, ,-9,6,30,-22,-7,5, , , , , , 
JP,Japan,Aichi, ,4/3/2020, ,-12,5,48,-24,-8,6, , , , , , 
JP,Japan,Aichi, ,4/4/2020, ,-14,8,53,-38,-10,7, , , , , , 
JP,Japan,Aichi, ,4/5/2020, ,-19,5,19,-43,-10,7, , , , , , 
JP,Japan,Aichi, ,4/6/2020, ,-9,6,29,-21,-10,6, , , , , , 
JP,Japan,Aichi, ,4/7/2020, ,-11,5,33,-25,-10,6, , , , , , 
JP,Japan,Aichi, ,4/8/2020, ,-17,3,28,-29,-10,7, , , , , , 
JP,Japan,Aichi, ,4/9/2020, ,-14,6,22,-30,-10,7, , , , , , 
JP,Japan,Aichi, ,4/10/2020, ,-21,5,1,-35,-12,9, , , , , , 
JP,Japan,Aichi, ,4/11/2020, ,-28,4,7,-52,-20,12, , , , , , 
JP,Japan,Aichi, ,4/12/2020, ,-38,-7,-37,-61,-20,12, , , , , , 
JP,Japan,Aichi, ,4/13/2020, ,-33,-12,-45,-40,-16,12, , , , , , 
JP,Japan,Aichi, ,4/14/2020, ,-23,2,6,-41,-16,11, , , , , , 
JP,Japan,Aichi, ,4/15/2020, ,-22,5,20,-41,-17,10, , , , , , 
JP,Japan,Aichi, ,4/16/2020, ,-22,5,20,-42,-18,11, , , , , , 
JP,Japan,Aichi, ,4/17/2020, ,-29,0,-5,-46,-20,14, , , , , , 
JP,Japan,Aichi, ,4/18/2020, ,-43,-11,-54,-64,-26,17, , , , , , 
JP,Japan,Aichi, ,4/19/2020, ,-37,-1,7,-59,-23,12, , , , , , 
JP,Japan,Aichi, ,4/20/2020, ,-34,-7,-33,-46,-21,14, , , , , , 
JP,Japan,Aichi, ,4/21/2020, ,-30,0,15,-46,-21,13, , , , , , 
JP,Japan,Aichi, ,4/22/2020, ,-33,-4,-4,-49,-22,14, , , , , , 
JP,Japan,Aichi, ,4/23/2020, ,-32,-2,5,-49,-23,14, , , , , , 
JP,Japan,Aichi, ,4/24/2020, ,-35,-2,-8,-50,-24,16, , , , , , 
JP,Japan,Aichi, ,4/25/2020, ,-38,-1,1,-59,-26,14, , , , , , 
JP,Japan,Aichi, ,4/26/2020, ,-42,-6,-5,-62,-27,13, , , , , , 
JP,Japan,Aichi, ,4/27/2020, ,-30,-3,13,-46,-22,13, , , , , , 
JP,Japan,Aichi, ,4/28/2020, ,-26,1,14,-47,-23,13, , , , , , 
JP,Japan,Aichi, ,4/29/2020, ,-26,-5,26,-65,-54,20, , , , , , 
JP,Japan,Aichi, ,4/30/2020, ,-27,4,15,-49,-28,16, , , , , , 
JP,Japan,Aichi, ,5/1/2020, ,-30,1,14,-53,-38,21, , , , , , 
JP,Japan,Aichi, ,5/2/2020, ,-40,-4,-6,-60,-32,16, , , , , , 
JP,Japan,Aichi, ,5/3/2020, ,-41,-7,-8,-63,-29,13, , , , , , 
JP,Japan,Aichi, ,5/4/2020, ,-19,-5,12,-71,-76,31, , , , , , 
JP,Japan,Aichi, ,5/5/2020, ,-15,1,46,-68,-76,30, , , , , , 
JP,Japan,Aichi, ,5/6/2020, ,-30,-14,-33,-73,-74,32, , , , , , 
JP,Japan,Aichi, ,5/7/2020, ,-21,4,23,-47,-35,17, , , , , , 
JP,Japan,Aichi, ,5/8/2020, ,-27,1,24,-49,-35,19, , , , , , 
JP,Japan,Aichi, ,5/9/2020, ,-36,-6,-13,-59,-23,14, , , , , , 
JP,Japan,Aichi, ,5/10/2020, ,-38,-12,-51,-63,-25,13, , , , , , 
JP,Japan,Aichi, ,5/11/2020, ,-27,-1,16,-43,-25,14, , , , , , 
JP,Japan,Aichi, ,5/12/2020, ,-29,-1,14,-45,-20,13, , , , , , 
JP,Japan,Aichi, ,5/13/2020, ,-27,-2,8,-45,-20,13, , , , , , 
JP,Japan,Aichi, ,5/14/2020, ,-25,-2,12,-46,-20,12, , , , , , 
JP,Japan,Aichi, ,5/15/2020, ,-27,0,7,-46,-21,14, , , , , , 
JP,Japan,Aichi, ,5/16/2020, ,-37,-15,-64,-62,-24,15, , , , , , 
JP,Japan,Aichi, ,5/17/2020, ,-28,0,8,-52,-18,10, , , , , , 
JP,Japan,Aichi, ,5/18/2020, ,-25,-5,-4,-40,-17,11, , , , , , 
JP,Japan,Aichi, ,5/19/2020, ,-22,-4,-7,-42,-18,12, , , , , , 
JP,Japan,Aichi, ,5/20/2020, ,-18,3,12,-39,-17,11, , , , , , 
JP,Japan,Aichi, ,5/21/2020, ,-19,0,12,-39,-17,11, , , , , , 
JP,Japan,Aichi, ,5/22/2020, ,-22,-1,12,-40,-19,12, , , , , , 
JP,Japan,Aichi, ,5/23/2020, ,-21,1,3,-47,-18,10, , , , , , 
JP,Japan,Aichi, ,5/24/2020, ,-23,-1,8,-46,-16,8, , , , , , 
JP,Japan,Aichi, ,5/25/2020, ,-17,1,9,-32,-15,9, , , , , , 
JP,Japan,Aichi, ,5/26/2020, ,-19,-1,-7,-34,-15,10, , , , , , 
JP,Japan,Aichi, ,5/27/2020, ,-16,2,10,-33,-15,9, , , , , , 
JP,Japan,Aichi, ,5/28/2020, ,-14,2,10,-33,-15,9, , , , , , 
JP,Japan,Aichi, ,5/29/2020, ,-16,2,8,-33,-15,10, , , , , , 
JP,Japan,Aichi, ,5/30/2020, ,-15,4,5,-40,-15,8, , , , , , 
JP,Japan,Aichi, ,5/31/2020, ,-22,-3,-45,-47,-15,9, , , , , , 
JP,Japan,Aichi, ,6/1/2020, ,-16,-1,1,-25,-9,7, , , , , , 
JP,Japan,Aichi, ,6/2/2020, ,-14,1,8,-27,-10,7, , , , , , 
JP,Japan,Aichi, ,6/3/2020, ,-15,2,7,-26,-11,7, , , , , , 
JP,Japan,Aichi, ,6/4/2020, ,-12,2,6,-27,-11,7, , , , , , 
JP,Japan,Aichi, ,6/5/2020, ,-11,2,6,-28,-18,9, , , , , , 
JP,Japan,Akita, ,2/15/2020, ,5,5,38,7,6,-1, , , , , , 
JP,Japan,Akita, ,2/16/2020, ,-2,0,-10,-5,0,2, , , , , , 
JP,Japan,Akita, ,2/17/2020, ,0,-1,1,3,0,1, , , , , , 
JP,Japan,Akita, ,2/18/2020, ,-2,-1,-8,-9,0,2, , , , , , 
JP,Japan,Akita, ,2/19/2020, ,2,4,5,0,0,0, , , , , , 
JP,Japan,Akita, ,2/20/2020, ,6,7,8,4,2,0, , , , , , 
JP,Japan,Akita, ,2/21/2020, ,1,-1,2,-1,1,1, , , , , , 
JP,Japan,Akita, ,2/22/2020, ,2,4,-1,0,-2,1, , , , , , 
JP,Japan,Akita, ,2/23/2020, ,-1,-2,-25,-10,-1,1, , , , , , 
JP,Japan,Akita, ,2/24/2020, ,24,1,15,2,-53,14, , , , , , 
JP,Japan,Akita, ,2/25/2020, ,6,8,3,-1,1,0, , , , , , 
JP,Japan,Akita, ,2/26/2020, ,6,7,17,3,1,0, , , , , , 
JP,Japan,Akita, ,2/27/2020, ,3,6,5,-1,2,1, , , , , , 
JP,Japan,Akita, ,2/28/2020, ,2,6,-3,-17,3,1, , , , , , 
JP,Japan,Akita, ,2/29/2020, ,2,14,2,-22,9,1, , , , , , 
JP,Japan,Akita, ,3/1/2020, ,-4,11,-20,-26,5,3, , , , , , 
JP,Japan,Akita, ,3/2/2020, ,-3,3,0,-23,-1,3, , , , , , 
JP,Japan,Akita, ,3/3/2020, ,2,7,-1,-27,0,3, , , , , , 
JP,Japan,Akita, ,3/4/2020, ,-2,5,8,-20,-1,3, , , , , , 
JP,Japan,Akita, ,3/5/2020, ,-8,-2,-15,-26,-1,4, , , , , , 
JP,Japan,Akita, ,3/6/2020, ,-7,-3,-7,-27,-1,4, , , , , , 
JP,Japan,Akita, ,3/7/2020, ,-5,4,22,-22,1,3, , , , , , 
JP,Japan,Akita, ,3/8/2020, ,-5,3,35,-21,0,3, , , , , , 
JP,Japan,Akita, ,3/9/2020, ,-2,-1,37,-13,-3,3, , , , , , 
JP,Japan,Akita, ,3/10/2020, ,-1,4,-9,-23,-2,4, , , , , , 
JP,Japan,Akita, ,3/11/2020, ,-2,2,-3,-22,-2,3, , , , , , 
JP,Japan,Akita, ,3/12/2020, ,4,6,13,-17,-1,3, , , , , , 
JP,Japan,Akita, ,3/13/2020, ,-5,-3,-6,-27,-2,5, , , , , , 
JP,Japan,Akita, ,3/14/2020, ,2,6,15,-19,-5,3, , , , , , 
JP,Japan,Akita, ,3/15/2020, ,0,6,20,-16,-1,3, , , , , , 
JP,Japan,Akita, ,3/16/2020, ,-2,-1,4,-17,-3,3, , , , , , 
JP,Japan,Akita, ,3/17/2020, ,2,0,-3,-20,-2,3, , , , , , 
JP,Japan,Akita, ,3/18/2020, ,4,4,17,-13,-1,2, , , , , , 
JP,Japan,Akita, ,3/19/2020, ,15,11,39,-2,-1,1, , , , , , 
JP,Japan,Akita, ,3/20/2020, ,9,0,-15,-27,-52,18, , , , , , 
JP,Japan,Akita, ,3/21/2020, ,-1,2,0,-13,-6,3, , , , , , 
JP,Japan,Akita, ,3/22/2020, ,-5,-2,-27,-16,-2,3, , , , , , 
JP,Japan,Akita, ,3/23/2020, ,3,0,24,-10,-3,2, , , , , , 
JP,Japan,Akita, ,3/24/2020, ,7,2,7,-15,-2,3, , , , , , 
JP,Japan,Akita, ,3/25/2020, ,12,9,32,-6,-2,1, , , , , , 
JP,Japan,Akita, ,3/26/2020, ,10,8,23,-11,-2,2, , , , , , 
JP,Japan,Akita, ,3/27/2020, ,3,0,4,-19,-2,3, , , , , , 
JP,Japan,Akita, ,3/28/2020, ,3,7,23,-16,-3,3, , , , , , 
JP,Japan,Akita, ,3/29/2020, ,-1,5,19,-20,0,3, , , , , , 
JP,Japan,Akita, ,3/30/2020, ,8,2,33,-11,-5,3, , , , , , 
JP,Japan,Akita, ,3/31/2020, ,6,5,29,-17,-4,3, , , , , , 
JP,Japan,Akita, ,4/1/2020, ,-4,5,3,-20,-5,3, , , , , , 
JP,Japan,Akita, ,4/2/2020, ,-6,2,1,-21,-6,5, , , , , , 
JP,Japan,Akita, ,4/3/2020, ,-7,-1,19,-25,-6,5, , , , , , 
JP,Japan,Akita, ,4/4/2020, ,-7,6,37,-26,-6,5, , , , , , 
JP,Japan,Akita, ,4/5/2020, ,-14,2,-23,-38,-6,7, , , , , , 
JP,Japan,Akita, ,4/6/2020, ,-11,-3,-3,-20,-6,5, , , , , , 
JP,Japan,Akita, ,4/7/2020, ,1,6,23,-22,-10,4, , , , , , 
JP,Japan,Akita, ,4/8/2020, ,-4,4,23,-19,-8,3, , , , , , 
JP,Japan,Akita, ,4/9/2020, ,-9,1,7,-23,-6,4, , , , , , 
JP,Japan,Akita, ,4/10/2020, ,-11,3,-4,-30,-7,5, , , , , , 
JP,Japan,Akita, ,4/11/2020, ,-10,6,52,-30,-14,7, , , , , , 
JP,Japan,Akita, ,4/12/2020, ,-20,2,16,-38,-8,7, , , , , , 
JP,Japan,Akita, ,4/13/2020, ,-13,-1,18,-26,-7,5, , , , , , 
JP,Japan,Akita, ,4/14/2020, ,-11,2,24,-26,-7,5, , , , , , 
JP,Japan,Akita, ,4/15/2020, ,-8,9,23,-27,-7,4, , , , , , 
JP,Japan,Akita, ,4/16/2020, ,-8,6,54,-23,-7,5, , , , , , 
JP,Japan,Akita, ,4/17/2020, ,-13,1,59,-28,-8,6, , , , , , 
JP,Japan,Akita, ,4/18/2020, ,-26,1,-1,-42,-10,9, , , , , , 
JP,Japan,Akita, ,4/19/2020, ,-25,0,91,-33,-12,7, , , , , , 
JP,Japan,Akita, ,4/20/2020, ,-21,-2,-5,-34,-9,7, , , , , , 
JP,Japan,Akita, ,4/21/2020, ,-17,1,24,-36,-11,7, , , , , , 
JP,Japan,Akita, ,4/22/2020, ,-19,1,11,-37,-12,7, , , , , , 
JP,Japan,Akita, ,4/23/2020, ,-23,-2,6,-36,-11,8, , , , , , 
JP,Japan,Akita, ,4/24/2020, ,-21,0,21,-39,-11,9, , , , , , 
JP,Japan,Akita, ,4/25/2020, ,-29,1,23,-48,-22,11, , , , , , 
JP,Japan,Akita, ,4/26/2020, ,-33,-5,2,-54,-20,10, , , , , , 
JP,Japan,Akita, ,4/27/2020, ,-18,-1,44,-36,-14,8, , , , , , 
JP,Japan,Akita, ,4/28/2020, ,-14,2,25,-42,-15,7, , , , , , 
JP,Japan,Akita, ,4/29/2020, ,-15,-3,36,-51,-60,18, , , , , , 
JP,Japan,Akita, ,4/30/2020, ,-15,5,51,-35,-18,9, , , , , , 
JP,Japan,Akita, ,5/1/2020, ,-22,1,8,-47,-22,13, , , , , , 
JP,Japan,Akita, ,5/2/2020, ,-28,-2,42,-46,-24,11, , , , , , 
JP,Japan,Akita, ,5/3/2020, ,-27,-2,89,-37,-23,7, , , , , , 
JP,Japan,Akita, ,5/4/2020, ,-4,-2,87,-45,-69,24, , , , , , 
JP,Japan,Akita, ,5/5/2020, ,4,6,88,-45,-70,23, , , , , , 
JP,Japan,Akita, ,5/6/2020, ,-8,-1,64,-48,-67,24, , , , , , 
JP,Japan,Akita, ,5/7/2020, ,-16,0,35,-35,-11,7, , , , , , 
JP,Japan,Akita, ,5/8/2020, ,-19,-4,54,-36,-11,8, , , , , , 
JP,Japan,Akita, ,5/9/2020, ,-20,0,57,-36,-6,6, , , , , , 
JP,Japan,Akita, ,5/10/2020, ,-20,3,-21,-47,-12,8, , , , , , 
JP,Japan,Akita, ,5/11/2020, ,-15,-2,31,-22,-7,4, , , , , , 
JP,Japan,Akita, ,5/12/2020, ,-12,2,46,-24,-8,4, , , , , , 
JP,Japan,Akita, ,5/13/2020, ,-10,2,27,-24,-8,4, , , , , , 
JP,Japan,Akita, ,5/14/2020, ,-9,1,47,-22,-7,3, , , , , , 
JP,Japan,Akita, ,5/15/2020, ,-11,0,47,-26,-7,5, , , , , , 
JP,Japan,Akita, ,5/16/2020, ,-11,2,60,-28,-8,5, , , , , , 
JP,Japan,Akita, ,5/17/2020, ,-12,2,15,-35,-9,6, , , , , , 
