"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
"千代田区",-15.6127402834036,8.4471222973149,-2.03118354862093,0.908498419170423,1.31270575263726,-1.04124153245152,1.22705762093797,0.224801877869956,0.142968627638931,0.0357098864496764,0.0675051500949805,-0.0161015768393276,-0.14169258679555,0.0120530739285517,0.143460370208048,0.243182811986224,-0.0984027609826783,-0.0374721955287409,0.0540056831824829,-0.14152134403353,-0.0155758979903759,-0.00383181031671143,0.011645161696096,0.000466568057077968,-1.43880610938511e-05
"中央区",-7.09635183841405,0.735143954525034,2.69888674117968,-1.21968269880262,-0.104552659552143,1.21279897586811,-1.0330199502883,1.84284611937604,0.386818080134169,-0.762882929839016,-1.2342815291935,0.879088021865388,0.347776319690671,-0.60354921508069,0.127028034843609,-0.74236991908033,-0.0473820551044022,-0.113470968792332,0.0156128634399429,0.262266370202246,0.0775182574264592,0.00199767366925518,-0.0284047931563349,0.000599580175106335,-1.92123356392485e-05
"港区",-7.22906529199123,0.0159501623211529,1.90021369749329,-1.79059035357269,-0.981834679998281,2.25811761349574,-1.11717194764304,-2.74189348898019,0.359736390859499,1.07855922014017,1.24506206178775,-0.385528781555002,0.659619648452354,-0.113073515560998,0.16456465538822,-0.0533885645348247,-0.0146246986689495,0.0312729724981638,-0.0102486259028255,0.0158897466992946,0.0290218620267908,0.0591015123171708,0.0216923685214052,0.0111073419082879,0.000107304355496952
"新宿区",-4.51119945735162,-2.09587518110856,0.810205137325267,0.0597261010495079,-1.31598207664041,-0.551351235665811,-1.22218508574358,0.931192265178093,-0.435072152714876,-0.0721472874121507,-0.23533351043979,-0.388704479087622,-0.0330909186952321,0.534607185320815,-0.0646263264652547,-0.016974327460426,0.0587579637105244,0.158241090537487,-0.0722272689060814,-0.0748821845514326,0.0516017765144244,-0.0529248324913577,0.167753568642967,0.0818971612793667,-0.000366275528352964
"文京区",-2.00920004607165,-1.88536136432911,-0.338576906982314,-0.482198136543088,-0.178349452466991,0.33388591100616,0.968728349709395,-1.41299717964149,-0.695772394451584,-0.171756136831841,-0.6986249929752,0.517286075425139,-0.295542420132118,0.532519601989016,0.140141918142324,-0.140911229247133,-0.0717540818119735,-0.234898456524234,-0.0798831014815103,-0.0168533411198902,-0.116484240956115,0.0821740858243433,0.0501318269162062,-0.0571177371278692,-1.78073924936444e-05
"台東区",-2.70245517144471,-1.38649751744428,-2.05010260074549,0.0569523602664813,-1.20932172699649,-0.842781338372201,-1.09303696096743,0.127229258256305,-0.189811089554194,0.204680836297764,-0.0360341316561634,0.852642931803602,0.512154190523524,0.156983274439714,0.397420187139254,0.683638680146147,0.335231526729719,0.241594685740883,-0.211621598171406,0.258470482380517,-0.0182313830567011,0.0698628587123452,-0.0174131165600217,-0.0825199703971497,0.000130743680036164
"墨田区",-0.0718020253500766,-1.19518352167355,-1.81962142170372,-1.29446919167793,-0.00869838193717875,-0.335553349298283,0.145950444887097,0.341678752651142,-0.214241230772802,-0.405481199365762,0.430386663719292,0.212820725677485,-0.532500951070688,-0.419671555845906,0.100626802182628,-0.0703431212477441,0.320706179951494,-0.303972589387188,0.0176874571267333,0.0657896279607097,-0.0234911758817526,0.108850013146767,0.0012101391290408,0.00813649195454146,-9.96871170907186e-06
"江東区",0.196581390617673,-1.16285190427165,-0.640102812428208,-0.940280696896984,0.835246578999579,1.09426267258195,0.636731377389349,0.721120584337965,0.148304415571577,0.137305657636602,-0.0538891526624426,0.187168771657519,-0.475412152509645,-0.0687382362306917,-0.244439712954132,-0.200727357287686,0.025609004095194,0.0370590777319213,-0.20257395426019,-0.207862975488567,-0.051505232947656,0.129942938427318,0.0143579128757101,0.013809155159588,3.44128263181184e-05
"品川区",-1.27977030492557,-1.99519029914378,-0.521281493311888,-0.895731114274159,-0.042960016359262,1.52718143950691,-0.176528046124035,0.178285173703643,0.589090065150309,-0.841602009597131,-0.071586698707466,0.192881934092106,-0.259467314430507,-0.0551252360122246,0.212467140808181,0.3984778050698,-0.259975396232059,0.127050316672708,-0.193753814078223,-0.194332058207633,-0.0509303269000791,-0.195528375209231,-0.105246978951171,0.0128446602269577,7.71415419413281e-06
"目黒区",-1.61000331663159,-2.06466097162502,0.69424408739067,0.0183702427912477,-0.967632419119343,0.0651925631744311,0.830709618821858,-1.08470474833354,-0.193784949601264,0.0235201979751637,-0.16009671563181,0.151223235818736,-0.213503185758971,-0.537162046395682,-0.298868735806694,-0.000533363550442895,0.399278651570931,-0.327842836370288,-0.134018134157976,-0.130611267240474,0.0345734888051712,-0.070546446852958,0.0866409016441929,-0.0366491948425576,-0.000318359801387573
"大田区",0.409649992175722,-1.08441595208099,-1.61289967737746,-1.49285790331105,0.252427408362753,1.06301680870007,0.34298998191118,0.0396648213827214,0.523530512191745,-0.655210476744701,0.125486852478035,0.145785463999623,-0.190802552560453,-0.20490127551143,-0.155680615401306,0.292358498944814,-0.348267964367496,0.285265448885356,-0.0701019417350084,0.0285459106837936,-0.0615352417860042,0.00284800479919822,-0.014171338711692,-0.00371287767128011,0.0001057399296934
"世田谷区",-0.892983983507334,-2.09404994558792,1.1528112838271,0.303338071465228,-0.409996871510099,0.354974448974285,1.02484213078372,-0.0878137119317592,-0.362760149698813,0.894826828039503,-0.255626511453649,-0.197461328773642,-0.201062779429102,-0.198057567261482,0.0123613221749341,0.159329915600694,-0.197926862805184,-0.0819806330935169,0.158596168818089,0.083124075233579,-0.0854973044102427,-0.0179933154617911,0.0183032816932148,0.0335910483952547,-0.000121914654605579
"渋谷区",-5.40291905750849,-1.57186394120608,0.404296898563829,0.689775013493764,-0.750967481077576,-0.296500948765168,-0.0240156570811563,-0.0776740950928708,-0.045789965476947,-0.101948552907809,0.956104455135419,-0.39349983849396,-0.65878949899801,0.0325384306589938,-1.21847513864323,-0.249147548034214,0.164684998111929,0.207889432946606,0.0891841689521544,0.197364033959951,-0.0400678485577454,-0.135352628830903,-0.112642688339767,-0.0140740450876425,0.000237360974256894
"中野区",-1.50258534125894,-2.64524498672272,0.940827011135528,0.500732653427099,-2.00356139131933,-1.70360833092654,0.978433905612331,-0.371335162169751,1.59168340869839,-0.245066225790462,-0.528618469487163,-0.0528561630339939,-0.0774203620553354,0.0386940817467086,0.104166416731139,0.628835471294747,0.0583225992106594,-0.0992227581984127,-0.0376958852424732,0.0859541915257376,0.0676345947065055,0.0065287303726264,-0.0943423162383974,0.0572361415179156,0.000131984632383829
"杉並区",-1.42533161326881,-3.09001774682932,-0.674536315782393,0.930250721704137,-1.30059933678763,-0.780182990166878,0.430951429990975,-0.419693237571246,-0.337957106415903,0.171469150587338,-0.198477472516607,0.127811369177603,0.0214521159922837,-0.0307547298738951,-0.0956072216323174,-0.341526357249158,-0.689793808017188,-0.0691071987828885,-0.134267882314487,-0.0810301267083007,0.156298779620644,0.164136250126053,-0.017211024253378,0.016514583604796,0.000311822431480564
"豊島区",-3.35699565998949,-2.81460673014971,0.922942653046711,0.254164504371405,-1.44113386436578,-0.0541762176680095,-1.75095994175154,1.6794419236649,-0.175481204597108,-0.0168026177022686,-0.1371942801732,-0.978910519991179,-0.0807239300380627,0.520547919395556,0.326116886876842,0.188386661215148,0.13835738564428,-0.145720594758465,0.104750059245178,-0.285700261596078,-0.0439153048720415,0.0436596282981783,-0.0162705967107717,-0.0323735771618214,0.000165231823331452
"北区",-0.00396658899270417,-1.85234304951925,-3.92611190551532,0.082393245988268,-0.133838884037365,-0.0175718931906389,-0.0711532301177093,-0.249021639815829,0.697062286070286,-0.366302453970325,-0.0157867369247269,0.802192394473342,0.160929112379716,0.512937558008308,-0.29260991582647,-0.474489678597255,0.100260838732184,-0.042796465865857,-0.0819176049102756,-0.104584740465859,-0.0561702501249105,-0.0873674565027896,0.0361737236214899,0.0158585493900023,0.000175790345466152
"荒川区",0.614446798760471,-1.14239895211243,-2.45185996923931,-1.28176809319949,-0.121601474193408,-0.620281834885296,0.214653550181963,0.0756351459999116,-0.468686245756576,0.0660839259137886,0.368676033436102,-0.177587422634468,-0.280294808016164,-0.161868277647405,0.393245201533939,-0.278333910430501,0.0944990582250557,-0.0753160054952541,0.148279879148661,-0.0108102486790281,0.300058414755041,-0.0313583372254257,-0.085774205132122,-0.00156354901038013,0.000157182134955213
"板橋区",0.299721737495252,-1.17466290488115,-1.92130188641507,-0.847464946794052,-0.219868008532918,-0.018376313539048,0.323247878313666,0.255852389418612,0.310141064299241,-0.365732828749207,0.108873077929118,-0.529323640876579,-0.216900061450139,-0.00527108082509068,-0.0177071337559874,-0.108931904619152,-0.14277170347251,-0.00509326181162281,0.0884041644042138,0.114004908660523,-0.109995020459489,-0.00936848407243361,0.0644886359777567,-0.00431721543423518,-0.000810086150736389
"練馬区",0.489729649068115,-1.30169897922852,0.516430961269089,-0.525495572890045,-0.198635424182946,-0.0471851778372057,0.881231119520735,0.449110545883308,-0.657495982388055,0.940144696439175,-0.226069306830693,-0.21214778588376,-0.16805783219502,-0.516810596306666,0.12223151613518,0.200448591375556,0.0918181922202257,-0.0259032510141917,0.21373071546459,0.00123551338232523,0.0174629110516399,-0.05634807164273,0.0648321526420087,-0.0226925603220633,0.000245619335519281
"足立区",1.18247767505249,-0.351603437296975,-2.55987450273741,-0.698852364401044,-0.105818971471579,0.0178129839377494,0.080015549003396,0.490434580677442,0.0130164117881463,0.766189154080735,-0.165592179404967,-0.483243612378334,0.466067270174133,0.098647623271059,0.0892112718812253,-0.252532319024306,-0.150858900868335,0.163156463352188,0.225489971921954,0.0612739879148642,-0.10030645936923,-0.00246735238114756,-0.0341854579627493,-0.0174064130240885,-0.000399892331015621
"葛飾区",1.33176287734255,-0.594642361067397,-2.07975447128738,-0.989359659885922,-0.0945567802852924,-0.000129482369661121,0.177366782748768,0.329132523680452,-0.339286289926636,0.76632659669598,0.042064291853632,0.0341412898552155,0.321969181640969,-0.327992954644887,0.0710856261364576,0.040084099659958,-0.123272364845616,-0.0179855637463968,0.0940661480773178,0.0218692029058561,0.114702172593212,-0.053532349413975,-0.00552371956524934,-0.0143080085367691,-0.000565205024440605
"江戸川区",1.3093425730802,-0.362742280460398,0.366445347149093,-1.71216644126506,0.773218628815244,0.685963601942555,1.23310060266642,0.693929234525473,-0.0396837980872662,0.719021864158266,-0.330824186836624,-0.364449330561306,-0.353024771242987,-0.220233767990624,0.181136264508484,0.183756729956363,0.0187749381067393,0.402345627498562,-0.0174026494430827,0.002767142952858,0.0143966036119625,-0.0113582797013502,0.0280659780277823,-0.0340627767178242,0.000323645018948442
"八王子市",2.31064760744474,1.62322273935086,0.539761554484875,0.421628472497511,-0.860106186421978,0.91762150572784,0.515387033007741,1.12680444821281,-0.230571347062659,-0.378808775123645,1.22149066036789,0.197393581665914,-0.428879892224753,1.06425394706784,0.183272421834672,0.0154986499268536,-0.192987858355872,0.0151968457560199,0.128009181360828,0.156015827264759,0.0527155718974078,0.0365794474079202,0.0490009382668891,-0.00566021469098554,0.00028272839580272
"立川市",0.60224680066691,0.0606258463126459,0.411364259575881,1.93849106682708,0.924510682077728,0.238901378263421,-1.16163692171804,0.466725608700662,-0.462628929435996,0.0470303489886463,-0.0641659990890448,0.240816819925912,-0.199430288835742,-0.319467514899146,-0.316644532958199,0.159297854420574,-0.00171210460261663,0.244759617585194,-0.0926611983139439,-0.101040232005911,-0.0893714258511997,0.0364316856439315,0.0643949262594608,-0.0113262889103414,3.74535431734215e-05
"武蔵野市",-1.12956689424809,-0.981285630346166,0.424695898274014,1.41636744541343,0.48221787391548,-0.36919177579724,0.251759106742507,-0.337834734744644,-0.953393618577367,-0.70577520228186,0.161448568951707,-0.379107568612397,0.433044510793164,0.0138342412165313,-0.0515021812828618,-0.300841772711021,0.406087598637126,0.286500612824996,0.0563627833677897,0.00471116378794161,0.00746884651073974,0.0895258103602864,-0.0557058482453516,0.00858942247710434,-0.000270560687032086
"三鷹市",0.569890172961459,-0.301661808901937,1.39732606071783,0.00950129313893092,0.569354496859734,-0.369265264703312,-0.405534487514196,-0.95677895303723,-0.659768413515005,-0.807909319365568,-0.427743649700496,-0.0996847061203567,-0.00448083963502217,0.11873645215139,0.347376119120449,-0.0600490821132169,-0.0898401620506221,-0.0436120478508642,0.220744609227077,-0.0672227912029999,-0.120764805876811,-0.00877388335400506,-0.118981936893782,0.00653745202149987,-3.66074005240916e-05
"青梅市",4.77025622347322,4.88210101490199,-0.0118292650352269,0.653295805511812,-3.21363598603075,0.621855780657502,0.725415742426288,0.00987117030059101,0.0566864441800291,-1.39486725906621,0.701538525352629,-0.369331653424101,0.0889491424324021,0.0993554168307454,0.106272649331938,-0.112819731202035,-0.0450337579820948,-0.0377774018785996,-0.073118825597724,0.0690330629221897,0.0533334742209363,0.0559275518572882,0.0268066355615987,-0.0156415814403945,-0.000114168481847982
"府中市",1.24892017238736,0.361812299982911,1.39120871816747,-0.503491716017344,1.30353386549209,-0.0752877231680578,0.410030643458715,-0.0768358038315428,-0.328947835632273,-0.404588204182608,-0.175524734372982,-0.504071647897595,0.122310570384905,0.202176266015817,0.186826480786637,-0.135743686466152,0.113062595459574,-0.172425126059945,0.0201035714860336,0.0347890847719905,-0.112016810660235,-0.0180880931704803,-0.00789043043928431,-0.00896940814981069,0.000102127892020849
"昭島市",2.15919978443223,1.15240376487392,-0.501581152809584,-0.815408833912053,0.551863330488896,-0.404580941351106,0.0726092695936085,0.378557991009948,0.130411453325215,-0.357158837124141,0.0285255735794121,-0.814136230812271,0.532987279904605,-0.214972819633874,-0.298838520900061,-0.123020341731878,0.185636514137178,0.104251218073764,-0.159356863292047,-0.102835512252596,0.14285968693889,0.0317988811030421,0.0293942520804099,-0.041255060561615,8.42462701604891e-05
"調布市",0.446412182302909,-0.9367310427036,1.62867931096262,0.771327544747547,1.19730546591115,-0.219804110249831,-0.196669933599368,-0.0733143885268192,-0.207870497555671,-0.262352881433508,0.408121599973407,-0.000376818132604519,0.105961923040207,0.229000942447425,0.472477681882727,0.0148269015527576,-0.0418925671352173,-0.162992629213792,-0.0244001662486103,0.0236739412581751,-0.0613587944927772,-0.173479133179929,-0.0198263083906968,-0.0258647243920336,9.67911529874936e-05
"町田市",1.86405463606396,0.75340511552396,0.325097845892857,1.00481526219586,0.378344318205057,0.807232216027123,0.0395408457604378,0.42785610712765,1.15943519338254,1.03455698721034,-0.0838588329083826,0.337618039870337,0.366099040168712,0.624486279196361,-0.206119630812575,0.23951680436989,0.020327711154908,-0.20509167774758,0.0514415502797407,0.101812078188482,-0.0899842303834504,0.0414228998055307,0.0175294586534482,0.00519174229012054,-0.000493467725990094
"小金井市",0.663278874542572,-0.966724794936502,1.80867946111322,1.77551459377116,1.53604251235565,-0.321633019654308,0.507110644196641,-0.268856955663595,-0.0106927076924974,-0.938008153531925,0.538018577014204,-0.0334225247377514,0.199612478739649,0.058894141269044,0.0582243596336737,-0.131668465781672,-0.079355481696427,-0.0466051421367004,-0.197558751063281,-0.0534359783635452,0.00898284882490339,-0.00359400006427282,-0.00677477550916528,-0.051076837311974,-0.000263377599484249
