"","x"
"千代田区",1
"中央区",2
"港区",2
"新宿区",2
"文京区",2
"台東区",3
"墨田区",3
"江東区",4
"品川区",2
"目黒区",2
"大田区",3
"世田谷区",4
"渋谷区",2
"中野区",2
"杉並区",3
"豊島区",2
"北区",3
"荒川区",3
"板橋区",3
"練馬区",4
"足立区",3
"葛飾区",3
"江戸川区",4
"八王子市",4
"立川市",4
"武蔵野市",2
"三鷹市",4
"青梅市",4
"府中市",4
"昭島市",4
"調布市",4
"町田市",4
"小金井市",4
"小平市",4
"日野市",4
"東村山市",4
"国分寺市",4
"国立市",4
"福生市",4
"狛江市",3
"東大和市",4
"清瀬市",3
"東久留米市",3
"武蔵村山市",4
"多摩市",4
"稲城市",4
"羽村市",4
"あきる野市",4
"西東京市",4
"瑞穂町",4
